HSN,NAME,P CODE,TOTAL QUANTITY,UNTAXED TOTAL,IGST,SGST,CGST,TAXED TOTAL
29242990,ACETAMIDE - 97%  250GM,A10025,20.0,2195.2,395.14,0,0,2590.3399999999997,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE COMMERCIAL 25 L,A10033,20.0,44000.0,0,3960.0,3960.0,51920.0,All / Saleable / ACIDS
29242910,ACETANILIDE 250.00 GM,A10125,136.0,24306.48,7179.089999999998,788.11,788.11,33061.78999999999,All / Saleable / LABORATORY CHEMICALS
29152100,ACETIC ACID GLACIAL L.R 500 ML,A10129,981.0,118355.52999999998,50113.129999999976,4874.609999999999,4874.609999999999,178217.88,All / Saleable / INDICATOR PAPERS
29152100,ACETIC ACID GLACIAL LR 2.5 L,A10137,134.0,66117.14,19861.14000000001,4044.78,4044.78,94067.84000000001,All / Saleable / INDICATOR PAPERS
29152100,ACETIC ACID GLACIAL 5 L,A10151,7.0,6540.69,0,588.6600000000001,588.6600000000001,7718.01,All / Saleable / INDICATOR PAPERS
29400000,L(+) ARABINOSE 5.00 GM,A10201,7.0,2161.3199999999997,0,194.51999999999998,194.51999999999998,2550.36,All / Saleable / LABORATORY CHEMICALS
29152100,ACETIC ACID ALDEHYDE FREE 2.5 L,A10237,2.0,1110.72,199.93,0,0,1310.65,All / Saleable / INDICATOR PAPERS
29225090,L-ASPARAGINE MONOHYDRATE 99% 25.00 GM,A10309,3.0,481.65,86.69,0,0,568.34,All / Saleable / LABORATORY CHEMICALS
29182200,ASPIRIN(ACETYL SALICYLIC ACID) 250.00 GM,A10325,11.0,2209.68,0,198.87,198.87,2607.42,All / Saleable / LABORATORY CHEMICALS
29141990,ACETYL ACETONE 250 ML,A10425,5.0,3115.5,0,280.39,280.39,3676.2799999999997,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE 200 L,A10504,1.0,17000.0,3060.0,0,0,20060.0,All / Saleable / ACIDS
29141100,ACETONE L.R. 500 ML,A10529,1944.0,294679.84,94959.29000000004,9120.579999999996,9120.579999999996,407880.29000000015,All / Saleable / ACIDS
29141100,ACETONE L.R. 2.5 L,A10537,319.0,184935.43999999994,55554.85999999999,6858.660000000001,6858.660000000001,254207.62000000005,All / Saleable / ACIDS
29141100,ACETONE 5 L,A10551,20.0,10300.0,0,927.0,927.0,12154.0,All / Saleable / ACIDS
29214110,ANILINE L.R. 500 ML,A10629,150.0,34929.2,12943.859999999999,1023.3799999999999,1023.3799999999999,49919.82,All / Saleable / LABORATORY CHEMICALS
29171200,ADIPIC ACID L.R. 250.00 GM,A10725,2.0,294.56,53.02,0,0,347.58,All / Saleable / LABORATORY CHEMICALS
29269000,ACETONITRILE 500 ML,A10729,5.0,1201.75,216.31,0,0,1418.06,All / Saleable / ACIDS
29143990,ANTHRONE 25.00 GM,A10809,26.0,10170.600000000002,1125.04,662.9200000000002,662.9200000000002,12621.48,All / Saleable / LABORATORY CHEMICALS
29029090,ANTHRACENE - 99% 100.00 GM,A10817,31.0,10064.94,1528.7000000000003,172.7,172.7,11939.04,All / Saleable / LABORATORY CHEMICALS
13023100,AGAR AGAR BACTERIOLOGICAL 250.00 GM,A10925,154.0,159644.16,95993.13999999998,3864.95,3864.95,263367.2,All / Saleable / LABORATORY CHEMICALS
13023100,AGAR AGAR BACTERIOLOGICAL 2.50 KG,A10939,10.0,54625.0,9832.5,0,0,64457.5,All / Saleable / LABORATORY CHEMICALS
29189900,ALUMINON POWDER 25.00 GM,A11009,11.0,6131.18,0,551.8,551.8,7234.780000000001,All / Saleable / LABORATORY CHEMICALS
76032000,ALUMINIUM POWDER 250.00 GM,A11025,167.0,19483.639999999996,3758.5599999999995,1668.5700000000002,1668.5700000000002,26579.34,All / Saleable / LABORATORY CHEMICALS
29141100,ACETONE L.R 25 L,A11033,66.0,145830.0,4981.5,14737.95,14737.95,180287.4,All / Saleable / ACIDS
28333010,ALUMINIUM AMMONIUM SULPHATE 500.00 GM,A11129,14.0,1554.1999999999998,355.68,95.41999999999999,95.41999999999999,2100.72,All / Saleable / LABORATORY CHEMICALS
38220019,ALKALINE PYROGALLOL SOLUTION 125 ML,A11171,16.0,3494.4,419.33,0,0,3913.73,All / Saleable / LABORATORY CHEMICALS
28342990,ALUMINIUM NITRATE L.R. 500.00 GM,A11229,260.0,31169.42,10286.970000000001,2288.1800000000003,2288.1800000000003,46032.74999999999,All / Saleable / LABORATORY CHEMICALS
28333030,ALUMINIUM POT.SULPHATE L.R 500.00 GM,A11329,162.0,11691.71,2104.51,0,0,13796.220000000001,All / Saleable / LABORATORY CHEMICALS
28333030,ALUMINIUM POT.SULPHATE 25.00 KG,A11389,1.0,1750.0,315.0,0,0,2065.0,All / Saleable / LABORATORY CHEMICALS
28332210,ALUMINIUM SULPHATE L.R. 500.00 GM,A11429,748.0,70808.95999999998,25762.49,1389.4399999999996,1389.4399999999996,99350.33,All / Saleable / LABORATORY CHEMICALS
28332210,ALUMINIUM SULPHATE L.R 5.00 KG,A11439,3.0,900.0,0,81.0,81.0,1062.0,All / Saleable / LABORATORY CHEMICALS
28332210,ALUMINIUM SULPHATE 25.00 KG,A11488,4.0,8000.0,0,720.0,720.0,9440.0,All / Saleable / LABORATORY CHEMICALS
38220090,ALCOHOLIC POT.HYDRO.SOLN.0.5N 5 L,A11551,7.0,4868.13,0,438.13,438.13,5744.389999999999,All / Saleable / LABORATORY CHEMICALS
28183000,ALUMINIUM HYDROXIDE POWDER 250.00 GM,A11625,16.0,2020.0,314.64,89.28,89.28,2513.2,All / Saleable / LABORATORY CHEMICALS
29143910,ACETOPHENONE 500 ML,A11629,64.0,18784.899999999998,6190.48,602.1700000000002,602.1700000000002,26179.719999999998,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 0.91 5 L,A11651,427.0,80859.53999999998,14113.519999999997,3757.430000000001,3757.430000000001,102487.92,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION.C.P. 5 L,A11661,40.0,5000.0,0,450.0,450.0,5900.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION.C.P. 30 L,A11670,56.0,40200.0,0,3618.0,3618.0,47436.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.91 500 ML,A11679,1671.0,113944.10999999996,60789.740000000005,3594.5299999999993,3594.5299999999993,181922.9099999999,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 0.91 30 L,A11680,40.0,22800.0,0,2052.0,2052.0,26904.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.91 2.5 L,A11687,206.0,50361.26000000001,19156.920000000002,2629.8800000000006,2629.8800000000006,74777.93999999999,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION 10% 25 L,A11699,358.0,196900.0,0,17721.0,17721.0,232342.0,All / Saleable / LABORATORY CHEMICALS
28142000,AMMONIA SOLUTION SP.GR.0.89 500 ML,A11779,59.0,4576.64,1302.92,139.98000000000002,139.98000000000002,6159.52,All / Saleable / LABORATORY CHEMICALS
29152990,AMMONIUM ACETATE L.R. 500.00 GM,A11829,144.0,22712.28,1228.8700000000001,1818.4099999999996,1818.4099999999996,27577.969999999994,All / Saleable / LABORATORY CHEMICALS
29051490,AMYL ALCOHOL ISO 2.5 L,A11837,80.0,64691.2,11644.42,0,0,76335.62,All / Saleable / LABORATORY CHEMICALS
29051490,AMYL ALCOHOL (ISO) 500 ML,A11879,660.0,110287.85,18680.419999999995,9293.02,9293.02,147554.31,All / Saleable / LABORATORY CHEMICALS
28271000,AMMONIUM CHLORIDE L.R. 500.00 GM,A11929,1333.0,121346.51,61115.61000000002,3877.3699999999985,3877.3699999999985,190216.86000000004,All / Saleable / LABORATORY CHEMICALS
28271000,AMMONIUM CHLORIDE L.R. 5.00 KG,A11939,21.0,13543.72,1732.9,1220.91,1220.91,17718.44,All / Saleable / LABORATORY CHEMICALS
39139090,AGAROSE FOR ELECTROPHORESIS 10.00 GM,A12005,13.0,10639.740000000002,1670.12,852.5699999999999,852.5699999999999,14014.999999999998,All / Saleable / LABORATORY CHEMICALS
